filename,text
2026/basic/nl/rst.wav,Basic-sequentie gereset.
2026/basic/nl/mnvr01.wav,Loop.
2026/basic/nl/mnvr02.wav,Reverse Half Cuban. Halve rol op de 45 graden stijglijn.
2026/basic/nl/mnvr03.wav,Roll.
2026/basic/nl/mnvr04.wav,Immelmann. Halve rol bovenaan.
2026/basic/nl/mnvr05.wav,45 Downline.
2026/basic/nl/mnvr06.wav,Hammerhead.
2026/basic/nl/mnvr07.wav,"Humpty Bump. Halve rol op de stijglijn, halve rol op de daallijn."
2026/basic/nl/mnvr08.wav,"Vertical Upline. Halve rol, gedrukte uitgang."
2026/basic/nl/mnvr09.wav,Down Sharks Tooth. Positieve spin van twee toeren bij de ingang.
2026/basic/nl/mnvr10.wav,Split S. Halve rol om te beginnen.
