filename,text
fr/femme/b165d2.wav,Virage de voltige inversé à 180 degrés.
fr/femme/85ab47.wav,"270 Degree Roller. Tonneau complet à l'intérieur, demi-tonneau à l'extérieur."
fr/femme/da0cb7.wav,270 Degree Roller. Trois tonneaux complets à l'intérieur.
fr/femme/33df59.wav,45 Downline.
fr/femme/118a7f.wav,90 Degree Roller. Tonneau complet à l'intérieur. Sortie sur le dos.
fr/femme/3054df.wav,Down Fig N. Deux tonneaux sur la montée à 45 degrés.
fr/femme/7843ae.wav,"Down Humpty. Deux quarts de tonneau sur la descente, tonneau complet sur la montée."
fr/femme/ff8000.wav,Down Humpty Bump. Vrille positive de trois-quarts de tour à l'entrée. Sortie sur le dos.
fr/femme/e14425.wav,"Down Loop. Boucle extérieure, trois-quarts de tonneau opposé, vrille déclenchée positive trois quarts en bas."
fr/femme/6410d4.wav,"Down Sharks Tooth. Trois-quarts de tonneau sur la descente, deux quarts de tonneau sur la montée. Sortie sur le dos."
fr/femme/414026.wav,Down Sharks Tooth. Vrille positive de deux tours à l'entrée.
fr/femme/2d2053.wav,"Fig P. Tonneau à quatre points sur la montée, tonneau complet au sommet, vrille déclenchée positive à la sortie."
fr/femme/67a43e.wav,Goldfish. Deux quarts de tonneau sur la montée à 45 degrés.
fr/femme/460043.wav,Hammerhead.
fr/femme/ae3462.wav,"Hammerhead. Demi-tonneau sur la montée, demi-tonneau sur la descente."
fr/femme/0e1c80.wav,"Humpty Bump. Demi-tonneau sur la montée, demi-tonneau sur la descente."
fr/femme/df36d6.wav,"Immelmann. Un tonneau trois quarts, puis vrille déclenchée positive trois quarts opposée à l'entrée. Boucle extérieure. Tonneau complet opposé, tonneau complet à la sortie."
fr/femme/5e8b19.wav,Immelmann. Demi-tonneau au sommet.
fr/femme/3a61a0.wav,"Laydown S. Demi-tonneau à l'entrée, boucle extérieure, vrille déclenchée négative trois quarts et quart de tonneau sur le 45, boucle intérieure, tonneau à quatre points à la sortie."
fr/femme/ceaecb.wav,Loop.
fr/femme/f10f90.wav,Q Loop. Tonneau complet intégré au sommet. Sortie sur une descente à 45 degrés.
fr/femme/699fed.wav,Réinitialisation de la séquence Advanced ALT.
fr/femme/7ccc94.wav,Réinitialisation de la séquence Advanced.
fr/femme/2f7cd5.wav,Réinitialisation de la séquence Basic.
fr/femme/8f43d3.wav,Réinitialisation de la séquence Intermediate ALT.
fr/femme/53ec08.wav,Réinitialisation de la séquence Intermediate.
fr/femme/4afef4.wav,Réinitialisation de la séquence Sportsman.
fr/femme/5aefed.wav,Réinitialisation de la séquence Unlimited ALT.
fr/femme/379bd7.wav,Réinitialisation de la séquence Unlimited.
fr/femme/9a82e1.wav,Reverse Half Cuban. Demi-tonneau sur la montée à 45 degrés.
fr/femme/e673a1.wav,Roll.
fr/femme/20f5b2.wav,Split S. Demi-tonneau pour entrer.
fr/femme/4b1714.wav,"Split S. Demi-tonneau pour entrer, vrille déclenchée positive à la sortie."
fr/femme/0a07d0.wav,"Tear Drop. Vrille déclenchée négative trois quarts et quart de tonneau sur la montée, vrille déclenchée positive en bas."
fr/femme/6bb17e.wav,"Vertical Upline. Demi-tonneau, sortie poussée."
